BlueDriver Data Log
Nov 28, 2018 6:30:07 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Control Module Voltage (V),Relative Throttle Position (%),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
30.0,42,0.0,8.3,0.0,82.7,101,18,36.1,17,-3.9,9.5,14.0,0.996,7.7,-2.4,53.4,8.4,1324,10.31,12.960,0.8,17,0.0,7.5
33.0,42,0.0,6.1,0.0,82.9,101,20,23.1,17,-3.9,5.8,12.8,0.996,0.0,3.0,25.9,0.0,1225,4.43,12.963,0.5,17,0.0,6.1
36.0,42,0.0,5.4,0.0,83.1,101,14,22.4,17,-3.8,5.5,12.0,0.996,0.1,0.8,26.3,0.0,1197,4.48,12.960,0.4,17,0.0,5.5
39.0,43,0.0,5.8,0.0,83.1,101,4,25.1,17,-0.1,5.5,7.4,0.998,0.0,-2.2,33.4,0.0,1009,4.42,12.997,0.4,17,0.1,6.1
42.0,43,0.0,10.6,0.0,83.1,101,7,37.8,17,-2.6,9.4,13.3,0.997,5.5,-2.5,45.3,4.7,1093,7.25,12.999,2.0,17,2.0,7.8
45.0,44,0.0,13.5,0.0,83.1,101,17,56.7,17,-2.6,14.1,13.8,0.996,12.7,-1.8,60.9,13.0,1516,13.72,12.878,7.8,17,12.8,12.9
48.0,44,0.0,16.4,10.6,83.1,101,29,63.7,17,-1.4,15.7,8.9,0.996,15.6,-4.7,79.9,16.5,1535,16.60,12.804,13.1,17,32.7,16.3
51.0,45,3.8,14.3,18.1,83.1,101,36,39.4,17,-3.9,5.9,26.9,0.996,0.0,-0.8,36.6,3.9,1030,8.20,12.904,5.6,17,19.9,12.0
54.0,46,13.4,5.1,0.0,83.1,101,34,20.4,17,-3.9,5.6,14.9,0.996,0.0,1.8,25.4,0.0,1062,4.56,12.989,0.6,17,0.0,5.4
57.0,47,20.1,5.1,0.0,83.5,101,27,21.7,17,-3.9,5.5,12.0,0.996,0.0,2.3,25.5,0.0,1209,4.46,13.001,0.4,17,0.0,5.1
60.0,47,31.7,5.1,0.0,83.8,101,16,23.4,17,-3.9,5.3,11.5,0.996,0.0,0.7,28.7,0.0,1119,4.47,12.960,0.4,17,0.0,5.1
63.0,48,34.7,5.1,0.0,83.9,101,5,26.8,17,-2.5,5.1,8.5,0.997,0.0,-1.5,34.6,0.0,919,4.34,12.960,0.4,17,0.0,5.1
66.0,48,38.0,5.1,0.0,83.9,101,0,29.6,17,0.0,5.1,3.0,0.999,0.0,-4.7,38.0,0.0,839,4.09,12.893,0.7,17,0.0,5.1
69.0,48,41.2,5.0,0.0,83.9,101,0,28.8,17,0.0,5.1,6.0,0.999,0.0,-1.6,37.1,0.0,847,4.02,12.829,0.6,17,0.0,4.9
72.0,49,44.9,5.1,0.2,83.9,101,0,27.5,17,-0.0,4.8,6.0,0.999,0.0,-1.6,36.2,0.0,829,3.91,12.800,1.2,17,0.4,6.8
75.0,49,51.7,16.4,48.4,84.2,101,8,50.7,17,0.0,12.6,9.1,0.998,8.8,-2.6,52.8,7.4,1193,9.50,12.837,5.4,17,8.7,13.3
78.0,50,81.0,23.2,31.4,84.3,101,22,68.8,17,0.0,22.2,11.7,0.996,20.7,-2.8,80.3,20.9,1977,22.76,12.960,18.4,17,69.7,25.3
81.0,51,116.9,29.4,13.0,84.3,101,36,75.7,17,-0.5,28.5,11.2,0.996,23.1,1.6,85.4,23.9,2197,28.40,12.962,24.1,17,82.1,29.5
84.0,51,157.4,31.8,3.4,84.3,101,45,76.7,17,-2.3,31.7,12.5,0.996,23.7,1.6,86.4,23.9,2459,29.88,12.914,25.5,17,86.8,31.5
87.0,52,204.5,30.6,0.0,84.3,101,52,73.3,16,-2.3,30.7,13.5,0.996,23.7,1.6,84.4,23.9,2622,30.69,12.880,25.0,17,78.9,29.4
90.0,53,262.6,22.4,49.9,84.0,100,55,62.9,16,-1.9,20.2,19.1,0.999,17.8,1.0,66.2,18.2,2495,26.03,12.868,22.0,16,55.3,22.3
93.0,54,280.3,11.9,38.3,83.9,101,53,38.6,16,-3.4,9.4,16.3,0.764,7.1,0.0,31.7,4.8,2004,9.38,12.800,7.8,16,44.1,14.5
96.0,55,289.9,6.2,13.8,83.9,101,47,15.7,16,-6.3,6.2,-2.8,0.000,0.0,0.0,16.9,0.0,1822,4.68,12.882,2.7,16,15.9,9.4
99.0,56,290.1,5.1,0.0,83.9,101,39,15.9,16,-6.3,5.1,-6.9,0.008,0.0,0.0,19.4,0.0,1487,4.45,12.880,0.6,16,0.2,5.8
102.0,56,283.8,5.1,0.0,83.9,101,24,23.5,16,-6.3,5.1,-11.1,0.000,0.0,0.0,25.8,0.0,1166,4.28,12.880,0.4,17,0.0,5.2
105.0,57,273.9,5.1,0.0,83.9,101,15,24.4,16,-3.0,5.7,6.7,0.402,4.1,-3.3,39.6,3.6,1199,6.52,12.880,1.3,17,0.0,5.5
108.0,57,278.4,10.3,0.0,83.9,101,14,36.0,16,-1.1,8.6,25.9,1.011,11.5,-9.2,61.3,13.7,1884,15.23,12.881,9.4,17,3.6,11.9
111.0,57,288.1,13.6,0.0,84.0,101,22,51.8,16,-3.9,15.0,14.1,1.003,14.9,-1.6,74.3,14.8,1461,15.25,12.937,10.8,17,15.5,14.3
114.0,57,300.8,10.9,0.0,84.3,101,32,23.5,16,-3.9,7.1,23.9,0.997,12.5,-3.1,73.2,13.0,1355,13.53,12.921,7.8,17,14.3,11.6
117.0,57,303.2,5.9,0.0,84.3,101,36,25.2,16,-3.9,6.6,14.5,0.997,6.1,-1.1,56.2,7.2,1266,10.02,12.909,2.9,17,0.0,6.3
120.0,58,304.0,5.9,0.0,84.3,101,31,26.9,16,-3.9,6.3,7.5,0.998,0.0,2.5,32.8,0.0,1248,5.46,12.999,0.8,17,0.0,6.3
123.0,58,304.0,5.6,0.0,84.4,101,23,27.8,16,-3.4,6.2,7.9,0.999,0.0,3.1,30.2,0.0,1237,4.58,12.961,0.8,17,0.0,5.6
126.0,58,302.6,5.1,0.0,84.7,101,10,25.9,16,-0.0,5.1,13.5,1.007,0.0,-1.8,35.0,0.0,934,4.32,12.990,0.6,17,0.0,5.0
129.0,58,295.4,5.1,0.0,84.7,101,3,29.9,16,0.0,4.9,7.2,1.006,0.0,-4.6,38.5,0.0,745,4.03,12.984,0.4,17,0.0,4.7
132.0,58,290.4,4.8,0.0,84.7,101,0,30.6,16,0.0,4.7,3.0,1.000,0.0,-4.5,39.7,0.0,739,3.82,12.878,0.4,17,0.0,4.7
135.0,59,285.9,4.5,0.0,84.7,101,0,29.2,16,0.7,5.4,7.4,0.994,0.8,-0.8,38.5,0.0,751,3.69,12.801,0.7,17,0.0,4.7
138.0,59,284.0,4.6,0.0,84.6,101,2,27.1,16,2.9,8.6,25.0,1.004,11.8,-1.6,52.4,9.3,1396,9.35,12.906,4.5,17,4.4,7.9
141.0,59,285.4,6.0,0.4,84.3,101,14,24.3,16,-6.3,7.9,39.3,0.986,10.1,1.6,44.7,10.8,1666,11.38,12.922,7.2,17,7.3,9.9
144.0,59,292.1,11.4,4.3,84.3,101,22,59.6,16,-2.4,16.9,18.6,0.994,14.7,-1.2,60.0,15.0,1768,15.36,12.880,11.2,17,17.5,10.2
147.0,59,314.2,23.5,6.2,84.3,100,34,72.8,16,-0.4,24.3,7.5,1.005,20.4,-3.1,82.9,21.5,1943,23.09,12.889,21.1,17,74.2,25.9
150.0,60,339.6,27.5,8.3,84.3,100,46,70.6,16,0.0,25.5,10.3,1.005,21.3,1.7,83.1,22.2,2286,27.38,12.961,23.8,17,85.8,27.6
153.0,60,365.5,23.4,6.3,84.2,100,56,64.2,16,-0.1,19.0,11.5,1.012,17.3,-3.1,78.3,17.3,1773,20.65,12.960,18.1,17,73.1,22.9
156.0,60,383.7,16.7,0.7,83.9,100,62,63.5,16,-0.8,17.3,11.5,1.001,15.8,-0.4,76.8,13.7,1665,16.15,12.879,14.5,17,75.2,18.5
159.0,61,399.6,19.6,5.3,83.9,100,68,67.1,16,-0.8,19.4,13.1,0.996,16.9,1.2,78.1,15.3,1673,16.49,12.847,14.8,17,87.8,18.2
162.0,62,417.0,18.9,1.3,83.6,101,71,38.3,16,-3.8,13.4,27.3,1.001,15.6,-0.3,61.5,17.5,1668,18.66,12.947,17.3,17,62.2,19.6
165.0,63,425.7,9.4,0.0,83.7,101,72,21.0,16,-5.3,6.4,42.2,1.012,10.4,-3.9,25.7,12.2,1359,12.68,12.882,6.7,17,7.8,14.5
168.0,64,423.9,5.7,0.0,83.9,101,70,24.7,16,-3.9,6.6,32.1,0.909,8.0,-3.8,47.0,10.6,1337,6.09,12.961,0.0,17,2.4,9.0
171.0,64,417.6,6.0,0.0,83.9,101,66,26.9,16,-3.9,6.3,-8.0,0.002,0.0,0.0,32.2,2.2,1252,5.66,12.909,1.0,17,0.2,6.7
174.0,65,412.5,5.8,0.0,83.9,101,62,20.4,16,-3.9,6.7,30.3,0.702,0.0,-2.5,31.7,0.0,1183,4.81,12.917,1.3,17,0.4,8.0
177.0,65,415.3,16.5,0.0,83.9,101,62,56.1,16,-1.9,14.2,23.7,1.005,7.7,-4.6,50.8,6.4,1324,8.53,12.939,4.1,17,6.7,11.4
180.0,65,428.0,19.3,30.2,83.9,101,65,69.3,16,-2.2,13.3,19.7,0.996,14.4,-4.1,74.0,16.5,1597,17.50,12.883,16.5,17,45.4,21.2
183.0,65,439.1,18.0,20.5,83.7,101,69,62.1,16,-3.9,5.5,31.0,0.992,6.8,0.0,50.8,14.0,1300,13.94,12.981,11.8,17,20.2,17.7
186.0,65,442.3,13.4,0.0,83.5,101,69,55.1,16,-3.9,6.6,21.1,0.986,0.0,0.0,22.0,0.0,1300,5.87,12.904,3.8,17,4.7,9.4
189.0,65,444.8,12.4,4.4,83.5,101,68,59.5,16,-3.9,16.9,8.0,1.013,13.8,0.0,69.9,12.8,1451,13.03,12.880,9.4,17,14.1,11.8
192.0,66,458.4,21.2,17.0,83.5,101,72,71.3,16,-1.4,22.5,10.2,1.005,19.5,0.0,84.1,19.5,1725,19.83,12.880,17.6,17,47.5,21.8
195.0,66,471.0,26.6,4.3,83.5,101,76,72.9,16,-0.3,25.4,11.8,1.000,21.0,0.3,83.7,21.2,1969,22.87,12.880,20.6,17,88.7,26.3
198.0,67,484.7,26.5,2.3,83.5,101,81,73.4,16,0.0,26.2,12.6,0.999,20.9,0.9,82.7,21.2,2079,23.90,12.880,21.6,17,89.9,26.2
201.0,67,499.4,26.2,3.8,83.5,100,85,72.9,16,0.0,25.9,13.0,0.998,21.2,1.6,82.3,21.2,2122,25.06,12.823,21.9,17,90.2,26.3
204.0,68,513.4,25.9,10.9,83.5,100,88,72.8,16,-0.0,25.4,12.5,1.002,20.9,0.5,81.9,21.2,2132,24.85,12.895,21.8,17,90.2,26.2
207.0,69,523.8,25.9,0.0,83.8,100,91,72.4,16,0.0,26.0,12.8,1.001,21.0,0.4,82.1,21.8,2152,25.03,12.966,22.6,17,89.8,26.4
210.0,69,533.5,30.1,0.0,83.6,101,94,73.9,16,0.4,28.9,12.6,1.004,21.8,-0.3,83.2,22.8,2208,26.14,12.880,25.6,17,87.5,30.2
213.0,70,544.8,31.4,2.9,83.7,101,97,74.8,16,0.6,31.7,12.1,1.008,23.1,-3.0,84.7,23.1,2336,27.77,12.881,26.6,17,25.0,31.0
216.0,70,555.8,31.3,4.5,83.8,101,100,73.8,16,-0.0,31.4,12.5,0.995,23.1,0.0,85.7,23.4,2375,28.25,12.880,26.7,17,0.0,31.4
219.0,71,565.7,31.0,1.9,83.5,101,102,74.4,16,-0.8,31.3,12.5,0.996,23.1,-0.5,85.9,23.5,2395,28.50,12.919,26.7,17,13.9,31.4
222.0,72,575.3,31.4,22.8,83.5,101,104,74.5,16,-2.3,31.1,13.4,0.993,23.1,0.7,85.0,23.5,2419,28.68,12.938,26.6,16,48.8,31.4
225.0,73,582.0,31.1,6.9,83.3,101,105,74.1,16,-3.1,30.8,14.0,0.993,23.0,2.1,84.0,23.4,2448,28.71,12.877,26.3,16,88.1,31.0
228.0,74,588.3,28.4,10.6,83.1,101,106,72.6,16,-2.6,29.1,14.4,1.000,22.5,1.6,84.3,22.7,2435,27.62,12.801,24.6,16,73.8,28.8
231.0,75,592.0,23.1,16.6,83.2,100,106,68.4,16,-0.8,21.6,17.0,1.007,14.9,-0.8,67.6,16.5,2150,20.72,12.895,17.2,16,55.2,22.0
234.0,75,592.0,15.3,0.0,83.5,100,106,52.4,16,-1.6,17.1,21.8,1.001,14.9,0.6,64.0,15.1,2019,18.10,12.960,12.1,16,51.8,15.7
237.0,77,590.6,19.8,0.0,83.2,100,106,62.1,16,-1.2,18.7,20.5,1.002,16.4,0.5,70.1,17.0,2032,20.13,12.960,15.3,17,91.7,19.2
240.0,77,592.0,23.2,1.4,83.1,100,107,69.2,16,-0.8,22.8,16.1,1.006,19.0,-1.0,79.6,19.6,2100,23.64,12.960,20.4,17,89.9,24.2
243.0,77,593.7,25.0,3.2,83.0,100,108,70.8,16,-0.8,24.8,15.0,0.999,20.0,2.3,79.9,20.4,2160,24.45,12.903,20.7,17,89.7,25.0
246.0,77,596.9,25.7,3.9,82.7,100,110,71.4,16,-0.8,25.9,15.5,0.996,20.6,2.9,81.4,20.7,2217,25.47,12.839,21.0,17,89.6,25.8
249.0,78,600.0,26.3,1.8,82.7,100,112,71.4,16,-0.8,26.2,15.2,1.001,21.0,2.3,81.6,20.8,2266,25.55,12.826,19.6,17,81.1,25.0
252.0,78,598.3,22.1,0.5,82.7,100,113,67.6,16,-0.8,23.7,16.7,1.002,20.1,1.0,79.6,20.1,2255,24.44,12.858,16.0,17,45.8,18.4
255.0,78,602.5,22.2,3.3,82.7,100,114,66.4,16,-0.8,21.8,18.2,0.999,18.5,0.2,76.6,18.4,2162,22.83,12.720,18.0,17,91.1,21.5
258.0,78,604.0,22.5,6.0,82.7,100,114,67.9,16,-0.8,23.0,17.5,0.997,19.2,1.6,77.2,19.2,2148,23.41,12.837,18.3,17,90.2,22.2
261.0,79,603.2,19.0,16.0,82.7,100,112,66.7,16,-0.8,22.0,17.5,0.998,15.6,1.0,56.4,11.3,2109,12.98,12.880,10.1,17,56.6,15.8
264.0,79,600.0,7.2,73.8,82.7,100,108,51.7,16,-1.4,18.6,20.3,0.998,15.5,-0.1,59.0,12.1,2064,13.08,12.909,7.1,17,28.8,9.5
267.0,80,599.1,27.0,15.8,82.7,100,108,65.7,16,-1.2,22.7,17.5,0.997,18.6,0.3,74.0,18.2,2115,22.84,12.960,19.4,17,90.1,25.2
270.0,80,602.7,27.4,4.6,82.7,100,108,56.5,16,-1.1,23.7,16.8,0.996,21.5,1.8,83.9,22.1,2328,27.63,12.960,22.7,17,88.4,27.4
273.0,80,604.0,23.1,24.7,82.7,100,108,30.8,16,-2.5,14.3,22.0,0.954,17.2,-0.8,71.8,17.6,2049,21.19,12.960,18.8,17,90.2,24.9
276.0,80,602.7,19.9,40.2,82.7,100,108,20.6,16,-6.3,5.5,5.5,0.002,10.2,-0.2,29.7,14.4,2005,17.44,12.910,15.5,17,51.0,23.5
279.0,81,599.4,24.7,13.6,82.7,101,106,36.1,16,-1.6,7.1,29.0,0.720,9.7,-2.0,26.2,10.7,1973,10.03,12.806,8.3,17,8.8,17.9
282.0,81,596.0,16.1,9.5,82.7,101,103,65.2,16,-1.0,19.1,20.1,1.005,15.6,-2.7,56.9,15.3,2006,12.98,12.797,8.0,17,17.1,9.6
285.0,81,598.6,28.2,5.5,82.5,100,105,75.4,16,-2.1,28.4,12.5,1.002,22.1,-0.3,83.4,23.1,2204,26.54,12.947,26.3,17,87.5,31.0
288.0,81,602.7,32.1,5.3,82.6,100,107,75.8,16,-3.1,32.5,13.5,0.996,24.7,3.1,86.5,24.7,2554,30.75,12.880,26.7,17,86.6,32.2
291.0,81,608.2,32.9,4.4,82.6,100,109,74.8,16,-3.1,33.1,14.4,0.996,24.7,3.1,85.1,25.1,2600,31.08,12.949,28.0,17,86.7,33.1
294.0,81,613.6,33.7,3.1,82.4,100,112,75.3,16,-3.1,33.7,14.0,0.999,25.1,3.1,85.0,25.5,2652,32.11,12.960,28.5,17,86.5,33.8
297.0,82,617.1,34.4,4.1,82.4,100,114,75.3,16,-3.1,34.1,14.5,1.000,25.1,2.5,85.4,25.5,2678,31.92,12.960,28.8,17,86.5,34.1
300.0,83,620.4,34.1,3.5,82.4,100,116,74.4,16,-3.1,34.1,14.5,1.000,25.1,2.8,85.5,25.5,2681,31.83,12.960,29.0,16,86.7,34.1
303.0,84,623.4,34.1,2.5,82.4,100,117,75.1,16,-3.1,34.3,15.1,1.000,24.7,3.1,84.2,24.4,2653,31.16,12.940,28.1,16,86.6,33.9
306.0,84,626.8,32.3,2.1,82.4,100,119,74.5,16,-3.1,33.6,15.7,0.998,24.3,3.1,82.5,23.0,2624,29.47,12.880,25.1,16,85.8,31.0
309.0,84,630.1,31.8,4.2,82.2,100,121,73.2,16,-3.1,31.9,16.2,0.997,24.2,3.1,82.7,24.3,2687,31.50,12.880,26.7,16,86.2,31.8
312.0,84,632.0,29.4,17.1,82.0,100,122,71.5,16,-3.0,30.8,17.0,1.000,23.5,2.3,81.9,23.5,2658,30.78,12.880,25.6,16,69.2,27.7
315.0,85,632.0,23.5,39.4,82.0,100,124,67.5,16,-0.8,23.1,19.5,0.999,20.7,0.7,79.1,21.1,2473,27.60,12.920,22.2,16,64.9,23.3
318.0,86,632.0,23.9,11.3,82.0,100,124,68.0,16,-0.8,16.6,23.1,0.995,12.9,0.0,48.6,11.1,2318,17.20,12.960,14.0,16,74.3,21.9
321.0,86,626.4,16.1,8.8,82.0,101,122,54.9,16,-1.2,14.1,25.7,0.991,4.8,1.8,17.0,1.5,2269,4.82,12.960,1.9,16,0.8,10.2
324.0,87,623.3,15.8,3.8,82.0,101,121,48.6,16,-1.6,15.1,26.0,0.989,0.0,5.5,16.1,3.5,2250,5.28,12.960,4.3,16,4.3,13.7
327.0,87,615.7,13.8,0.0,82.0,101,122,48.7,16,-1.8,17.2,24.0,0.996,0.0,4.7,17.3,0.4,2269,4.87,12.960,2.1,16,2.1,10.1
330.0,87,605.8,5.1,0.0,82.0,101,120,11.8,16,-6.3,5.1,-2.2,0.313,1.5,1.8,15.0,1.5,2249,4.59,12.960,0.8,16,0.0,5.1
333.0,87,587.3,5.1,0.0,82.0,101,119,11.3,16,-6.3,5.1,-10.3,0.000,1.3,0.0,13.0,1.6,2202,4.43,12.960,0.7,17,0.0,5.1
336.0,86,573.8,6.7,0.0,82.0,101,116,28.2,16,-4.3,9.6,2.7,0.307,3.9,0.4,21.2,2.4,2161,5.16,12.959,0.4,17,0.0,4.7
339.0,86,568.0,12.8,0.0,81.9,101,115,50.1,16,-1.6,15.4,24.8,1.010,14.1,1.6,58.4,14.9,2236,18.24,12.881,9.1,17,8.0,13.4
342.0,86,566.9,17.7,0.0,81.6,101,116,60.4,16,-1.6,12.2,26.5,0.989,0.0,2.3,16.1,4.1,2167,8.93,12.929,5.3,17,6.2,13.4
345.0,86,564.0,14.2,0.3,81.6,101,112,54.0,16,-1.6,15.6,24.4,1.004,9.0,1.0,39.3,7.6,2155,10.82,12.960,4.7,17,7.0,9.5
348.0,86,563.1,17.6,59.6,81.9,101,113,54.1,16,-1.6,11.5,30.4,1.009,13.4,-0.8,52.9,14.9,2165,19.00,12.947,13.2,17,28.6,17.3
351.0,86,564.0,22.0,33.2,81.8,101,114,61.2,16,-1.3,11.4,32.9,1.004,12.2,-1.9,41.6,15.0,2137,19.85,12.880,18.0,17,89.2,23.2
354.0,86,565.6,20.5,6.6,81.6,100,113,68.9,16,-0.9,23.8,18.4,0.999,18.8,0.8,78.7,18.8,2173,16.81,12.937,11.6,17,44.0,15.9
357.0,86,568.7,12.8,0.0,81.6,101,110,52.5,16,-1.6,22.4,15.0,1.001,19.7,-0.9,82.6,20.4,2159,21.62,12.920,15.5,17,40.2,14.6
360.0,86,572.0,28.2,0.0,81.6,100,108,70.7,16,-2.6,29.9,13.1,0.997,23.3,0.3,86.1,23.5,2317,27.97,12.880,24.9,17,88.1,29.0
363.0,86,578.2,34.0,5.5,81.6,101,108,77.3,16,-3.1,34.9,12.6,0.995,26.4,2.5,87.8,26.5,2568,31.67,12.888,29.9,16,85.9,35.3
366.0,86,586.3,36.7,6.6,81.4,101,108,76.7,16,-3.1,36.2,13.5,1.000,26.7,3.1,86.3,27.1,2649,32.31,12.960,31.7,16,85.9,36.7
369.0,86,594.3,37.5,4.9,81.2,101,108,76.1,16,-3.1,36.9,13.5,1.000,27.1,2.5,86.0,27.4,2650,32.61,12.912,32.4,16,85.7,37.6
372.0,86,600.4,38.0,3.5,81.2,101,110,76.8,16,-3.1,37.7,13.5,0.999,27.1,2.7,86.1,27.5,2667,33.02,12.911,32.9,16,85.7,38.1
375.0,86,606.7,37.9,0.9,81.2,100,113,76.4,16,-3.1,36.0,14.0,0.999,26.2,3.1,85.4,26.8,2687,33.13,12.960,32.1,16,86.1,38.4
378.0,86,610.3,34.6,8.5,81.2,100,115,75.2,16,-3.1,33.9,14.4,0.999,24.8,3.2,83.7,25.1,2687,32.26,12.960,25.9,16,56.4,31.8
381.0,86,613.6,31.3,11.4,81.2,100,117,73.5,16,-3.1,33.1,14.1,0.997,25.1,3.9,84.7,25.5,2685,32.65,12.960,28.7,16,74.9,32.6
384.0,86,616.0,26.5,0.0,81.2,101,120,72.2,16,-3.1,30.2,15.5,1.003,9.6,2.3,41.5,12.4,2413,19.56,12.960,20.9,16,68.6,28.7
387.0,86,616.0,9.0,0.0,81.2,101,120,36.9,16,-2.0,22.3,19.3,1.006,11.5,0.4,44.3,11.3,2275,15.93,12.960,14.6,16,52.5,20.9
390.0,86,614.7,22.5,5.1,81.2,100,122,52.5,16,-1.2,22.7,18.0,1.006,19.6,-0.8,74.9,19.6,2339,25.29,12.960,21.7,16,88.2,27.5
393.0,86,618.4,27.5,3.4,81.2,100,125,72.9,16,-1.5,27.7,13.7,1.002,22.1,-0.6,83.5,22.0,2437,28.07,12.960,22.7,17,87.9,27.5
396.0,86,621.6,28.9,0.0,81.2,100,126,72.9,16,-3.1,28.4,14.6,1.000,22.4,0.8,83.4,22.7,2498,28.69,12.844,23.3,17,87.1,28.8
399.0,86,624.0,27.7,0.0,81.2,100,126,72.9,16,-3.1,30.2,16.0,1.000,22.9,1.4,83.0,23.2,2592,29.63,12.880,24.1,17,86.7,29.9
402.0,86,623.7,14.5,0.0,81.2,101,124,42.5,16,-2.1,18.6,25.1,1.000,20.0,1.6,76.4,21.1,2529,27.81,12.966,22.8,16,85.6,29.3
405.0,86,624.0,20.1,8.4,81.2,100,123,33.4,16,-1.6,15.4,27.3,1.001,17.6,1.2,70.5,17.9,2331,23.33,12.980,16.1,16,79.2,22.4
408.0,86,619.5,13.6,6.7,81.2,100,121,39.0,16,-1.4,19.8,21.7,1.004,19.3,-0.1,77.0,19.1,2300,24.15,12.960,3.5,17,17.4,9.7
411.0,86,611.6,5.2,0.6,81.2,101,117,42.4,16,-1.0,21.9,18.5,1.007,20.0,-1.6,78.7,12.2,2206,11.59,12.960,2.0,17,0.0,5.3
414.0,86,601.4,6.3,1.5,81.2,101,112,11.0,16,-6.3,4.7,-6.0,0.271,6.0,-0.5,36.8,4.9,2098,5.26,12.960,0.8,17,0.0,4.9
417.0,86,587.8,16.5,14.8,81.2,101,106,49.7,16,-3.1,15.2,5.8,0.560,9.4,0.4,41.4,7.8,2051,10.09,12.960,4.9,17,5.6,5.1
420.0,86,588.0,12.7,45.8,81.2,101,104,54.7,16,-1.6,18.5,18.9,1.006,17.0,1.0,72.6,17.5,2056,21.46,12.951,17.9,17,34.9,11.8
423.0,86,588.0,13.9,29.4,81.2,101,104,49.4,16,-1.6,16.0,21.3,0.995,14.3,1.6,59.3,14.5,1975,16.97,12.880,11.4,17,40.8,14.3
426.0,86,588.0,15.5,0.0,81.3,100,104,54.1,16,-1.6,16.9,20.5,1.001,15.7,1.6,67.7,15.7,1975,18.04,12.961,10.4,17,48.6,14.5
429.0,86,588.0,14.5,0.2,81.6,100,104,54.1,16,-1.6,15.7,20.5,0.998,16.0,1.6,69.1,15.9,1975,18.85,12.981,11.7,17,66.7,15.0
432.0,86,587.8,18.4,4.3,81.2,100,106,65.0,16,-1.1,19.8,17.1,1.002,17.3,0.0,73.8,17.4,2016,20.49,12.915,15.7,17,91.9,19.0
435.0,86,591.1,23.3,6.8,81.2,100,107,69.9,16,-0.8,23.1,15.7,1.003,18.4,-0.6,69.8,16.8,2072,19.60,12.816,19.6,17,90.2,25.1
438.0,86,592.0,23.9,4.2,81.2,100,109,70.1,16,-0.8,24.1,16.3,0.997,18.6,1.4,47.7,9.3,2062,5.24,12.960,7.5,17,24.8,19.7
